created_at,entry_id,Acc_x,Acc_y,Gyro_x,Gyro_y,EMG,latitude,longitude,elevation,status
2024-01-12T15:02:20+00:00,151,0.42138,8.69095,-0.05223,0.02825,891,,,,
2024-01-12T15:02:39+00:00,152,0.26097,8.47069,-0.04956,0.01839,894,,,,
2024-01-12T15:02:57+00:00,153,0.51715,8.41801,-0.06795,0.03437,896,,,,
2024-01-12T15:03:12+00:00,154,0.51236,8.55927,-0.06289,0.01865,899,,,,
2024-01-12T15:03:27+00:00,155,0.34955,8.5473,-0.05329,0.0056,903,,,,
2024-01-12T15:03:44+00:00,156,0.39265,8.61913,-0.05063,0.02052,907,,,,
2024-01-12T15:04:00+00:00,157,0.40941,8.58082,-0.03277,0.02531,910,,,,
2024-01-12T15:04:16+00:00,158,0.35434,8.60955,-0.06049,0.01599,912,,,,
2024-01-12T15:04:31+00:00,159,0.43335,8.52096,-0.05356,0.00453,915,,,,
2024-01-12T15:04:50+00:00,160,0.54109,8.58561,-0.04397,0.06928,915,,,,
2024-01-12T15:05:06+00:00,161,0.34477,8.61913,-0.02878,0.02558,922,,,,
2024-01-12T15:05:24+00:00,162,0.35913,8.51139,-0.02292,0.01412,929,,,,
2024-01-12T15:05:48+00:00,163,0.34237,8.65025,-0.05756,0.01146,934,,,,
2024-01-12T15:06:05+00:00,164,0.67756,8.43956,-0.06555,0.01732,944,,,,
2024-01-12T15:06:25+00:00,165,0.56503,8.56406,-0.05409,0.03251,950,,,,
2024-01-12T15:06:41+00:00,166,0.54109,8.5473,-0.03677,0.02984,959,,,,
2024-01-12T15:06:56+00:00,167,0.52433,8.59518,-0.04317,0.03384,967,,,,
2024-01-12T15:07:12+00:00,168,0.51475,8.58321,-0.05756,0.01759,973,,,,
2024-01-12T15:07:29+00:00,169,0.50757,8.81306,-0.06342,0.01492,985,,,,
2024-01-12T15:07:44+00:00,170,0.30885,9.05008,-0.04636,0.01652,990,,,,
2024-01-12T15:07:59+00:00,171,0.33998,8.89446,-0.02292,0.02718,1008,,,,
2024-01-12T15:08:14+00:00,172,0.35674,8.96629,-0.03651,0.02798,1023,,,,
2024-01-12T15:08:30+00:00,173,0.43574,8.79151,-0.04503,-0.03704,1050,,,,
2024-01-12T15:08:49+00:00,174,0.26336,8.91361,-0.04663,0.02691,1072,,,,
2024-01-12T15:09:05+00:00,175,0.29688,8.9184,-0.05756,0.01839,1090,,,,
2024-01-12T15:09:26+00:00,176,0.42138,8.77714,-0.03837,0.01812,1123,,,,
2024-01-12T15:09:44+00:00,177,0.21069,8.86573,-0.05116,0.01172,1165,,,,
2024-01-12T15:10:00+00:00,178,0.18914,8.77714,-0.0461,0.02425,1182,,,,
2024-01-12T15:10:16+00:00,179,0.27773,8.71011,-0.02798,0.01652,1212,,,,
2024-01-12T15:10:33+00:00,180,0.30167,8.8777,-0.06315,0.01306,1232,,,,
2024-01-12T15:10:49+00:00,181,0.50039,8.86094,-0.03437,0.03038,1264,,,,
2024-01-12T15:11:11+00:00,182,0.33279,8.87291,-0.07088,0.03384,1290,,,,
2024-01-12T15:11:26+00:00,183,0.66319,9.02853,-0.03331,0.01732,1326,,,,
2024-01-12T15:11:41+00:00,184,0.15802,0.88346,-0.18786,-0.03784,1344,,,,
2024-01-12T15:11:59+00:00,185,0.09337,2.07817,-0.0461,0.01039,1366,,,,
2024-01-12T15:12:15+00:00,186,0.0838,1.97043,-0.05276,0.0421,1394,,,,
2024-01-12T15:12:34+00:00,187,0.10056,1.95846,-0.06182,0.00853,1408,,,,
2024-01-12T15:12:50+00:00,188,0.03112,2.00634,-0.04823,0.01013,1419,,,,
2024-01-12T15:13:07+00:00,189,0.03591,2.09014,-0.05116,0.02851,1421,,,,
2024-01-12T15:13:25+00:00,190,-0.14605,1.87466,-0.06555,0.01013,1440,,,,
2024-01-12T15:13:40+00:00,191,0.02634,1.79565,-0.05995,0.01279,1453,,,,
2024-01-12T15:13:55+00:00,192,-0.32082,1.97761,-0.08474,0.02238,1475,,,,
2024-01-12T15:14:11+00:00,193,-0.23463,1.9393,-0.0493,-0.00053,1476,,,,
